finalWorth,category,age,country,industries,birthYear,birthMonth,birthDay,cpi_country,gdp_country,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
5500,Manufacturing,68,China,Manufacturing,1955,3,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
9200,Diversified,79,Sweden,Diversified,1943,9,6,110.51,"$530,832,908,738 ",126.6,82.5,27.9,49.1,10285453
1800,Diversified,67,Nepal,Diversified,1955,4,14,188.73,"$30,641,380,604 ",142.1,70.5,20.7,41.8,28608710
2200,Technology,52,United States,Technology,1970,10,10,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2200,Fashion & Retail,61,United States,Fashion & Retail,1961,8,27,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
7000,Food & Beverage,71,United States,Food & Beverage,1952,2,26,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1000,Manufacturing,59,Indonesia,Manufacturing,1963,4,30,151.18,"$1,119,190,780,753 ",106.4,71.5,10.2,30.1,270203917
1600,Healthcare,45,Switzerland,Healthcare,1978,2,20,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
2000,Construction & Engineering,80,India,Construction & Engineering,1942,8,1,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
2000,Construction & Engineering,53,India,Construction & Engineering,1969,6,30,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
4200,Fashion & Retail,73,Indonesia,Fashion & Retail,1950,2,9,151.18,"$1,119,190,780,753 ",106.4,71.5,10.2,30.1,270203917
1700,Technology,30,United States,Technology,1992,9,19,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2500,Energy,53,Singapore,Energy,1970,2,22,114.41,"$372,062,527,489 ",100.6,83.1,13.1,21,5703569
3700,Manufacturing,56,China,Manufacturing,1966,4,7,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
4200,Service,65,Israel,Service,1957,9,9,108.15,"$395,098,666,122 ",104.9,82.8,23.1,25.3,9053300
5600,Healthcare,65,South Korea,Healthcare,1957,10,23,115.16,"$2,029,000,000,000 ",98.1,82.6,15.6,33.2,51709098
1300,Technology,66,United States,Technology,1957,1,23,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
5300,Food & Beverage,80,United States,Food & Beverage,1943,1,2,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2300,Technology,62,United States,Technology,1961,3,27,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1500,Manufacturing,66,China,Manufacturing,1957,3,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
2300,Fashion & Retail,56,China,Fashion & Retail,1966,8,25,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1300,Finance & Investments,77,Spain,Finance & Investments,1946,1,20,110.96,"$1,394,116,310,769 ",102.7,83.3,14.2,47,47076781
1300,Diversified,77,Turkey,Diversified,1945,8,6,234.44,"$754,411,708,203 ",93.2,77.4,17.9,42.3,83429615
12000,Technology,59,United States,Technology,1963,11,6,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1600,Technology,47,China,Technology,1976,1,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3600,Fashion & Retail,73,Spain,Fashion & Retail,1949,10,8,110.96,"$1,394,116,310,769 ",102.7,83.3,14.2,47,47076781
1300,Finance & Investments,101,United States,Finance & Investments,1921,9,11,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1900,Diversified,74,Chile,Diversified,1948,7,30,131.91,"$282,318,159,745 ",101.4,80,18.2,34,18952038
1700,Technology,61,United States,Technology,1961,7,26,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2400,Manufacturing,65,United States,Manufacturing,1958,2,2,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2100,Metals & Mining,62,Ukraine,Metals & Mining,1960,12,14,281.66,"$153,781,069,118 ",99,71.6,20.1,45.2,44385155
1700,Real Estate,68,Singapore,Real Estate,1954,11,28,114.41,"$372,062,527,489 ",100.6,83.1,13.1,21,5703569
6800,Energy,61,United States,Energy,1961,8,28,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
7800,Telecom,73,United States,Telecom,1949,11,25,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
4300,Healthcare,61,China,Healthcare,1962,1,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1800,Manufacturing,70,India,Manufacturing,1952,7,25,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
6700,Energy,72,United States,Energy,1951,3,27,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1000,Healthcare,74,Singapore,Healthcare,1949,2,27,114.41,"$372,062,527,489 ",100.6,83.1,13.1,21,5703569
1200,Diversified,82,Indonesia,Diversified,1941,1,12,151.18,"$1,119,190,780,753 ",106.4,71.5,10.2,30.1,270203917
1500,Manufacturing,58,China,Manufacturing,1965,1,27,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1500,Media & Entertainment,40,United States,Media & Entertainment,1982,7,14,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1200,Manufacturing,51,Hungary,Manufacturing,1971,5,26,121.64,"$160,967,157,504 ",100.8,75.8,23,37.9,9769949
7900,Technology,54,South Korea,Technology,1968,6,23,115.16,"$2,029,000,000,000 ",98.1,82.6,15.6,33.2,51709098
3000,Fashion & Retail,95,Canada,Fashion & Retail,1927,5,29,116.76,"$1,736,425,629,520 ",100.9,81.9,12.8,24.5,36991981
3500,Finance & Investments,88,United States,Finance & Investments,1934,5,31,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2600,Finance & Investments,84,Netherlands,Finance & Investments,1938,4,28,115.91,"$909,070,395,161 ",104.2,81.8,23,41.2,17332850
1000,Energy,55,China,Energy,1968,3,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
5300,Food & Beverage,86,United States,Food & Beverage,1936,12,24,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1100,Gambling & Casinos,78,Spain,Gambling & Casinos,1944,6,10,110.96,"$1,394,116,310,769 ",102.7,83.3,14.2,47,47076781
2600,Manufacturing,61,Germany,Manufacturing,1961,9,4,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
3100,Finance & Investments,35,Kazakhstan,Finance & Investments,1987,11,13,182.75,"$180,161,741,180 ",104.4,73.2,11.7,28.4,18513930
8400,Media & Entertainment,75,United States,Media & Entertainment,1947,11,29,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1600,Finance & Investments,66,United States,Finance & Investments,1956,7,25,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
24600,Automotive,56,Germany,Automotive,1966,5,9,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
1100,Finance & Investments,51,United States,Finance & Investments,1972,1,12,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1000,Manufacturing,75,India,Manufacturing,1947,8,1,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
2200,Fashion & Retail,73,United States,Fashion & Retail,1949,6,8,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2300,Fashion & Retail,73,United States,Fashion & Retail,1949,9,7,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
4800,Fashion & Retail,58,United Kingdom,Fashion & Retail,1964,9,12,119.62,"$2,827,113,184,696 ",101.2,81.3,25.5,30.6,66834405
1200,Real Estate,55,Russia,Real Estate,1967,5,18,180.75,"$1,699,876,578,871 ",102.6,72.7,11.4,46.2,144373535
1200,Technology,43,United States,Technology,1979,8,1,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1100,Telecom,53,China,Telecom,1969,12,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3200,Logistics,52,Russia,Logistics,1970,9,12,180.75,"$1,699,876,578,871 ",102.6,72.7,11.4,46.2,144373535
3000,Diversified,94,Turkey,Diversified,1928,9,8,234.44,"$754,411,708,203 ",93.2,77.4,17.9,42.3,83429615
1700,Automotive,74,France,Automotive,1949,1,1,110.05,"$2,715,518,274,227 ",102.5,82.5,24.2,60.7,67059887
4400,Healthcare,50,United States,Healthcare,1972,7,20,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2700,Food & Beverage,54,China,Food & Beverage,1969,1,3,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
2200,Healthcare,91,India,Healthcare,1932,2,5,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
4000,Technology,48,United States,Technology,1974,6,15,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
9700,Technology,53,China,Technology,1969,12,16,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
14800,Food & Beverage,78,Thailand,Food & Beverage,1944,5,2,113.27,"$543,649,976,166 ",99.8,76.9,14.9,29.5,69625582
1900,Finance & Investments,63,United States,Finance & Investments,1959,5,22,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1300,Logistics,58,Switzerland,Logistics,1964,8,1,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
1000,Real Estate,71,China,Real Estate,1951,8,21,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1400,Healthcare,57,India,Healthcare,1966,1,18,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
1800,Finance & Investments,77,Brazil,Finance & Investments,1945,11,30,167.4,"$1,839,758,040,766 ",115.4,75.7,14.2,65.1,212559417
1400,Fashion & Retail,38,Sweden,Fashion & Retail,1985,1,1,110.51,"$530,832,908,738 ",126.6,82.5,27.9,49.1,10285453
3700,Food & Beverage,69,United States,Food & Beverage,1953,7,19,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2300,Food & Beverage,82,United States,Food & Beverage,1941,1,11,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
5100,Finance & Investments,65,United States,Finance & Investments,1957,10,12,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1900,Diversified,68,Turkey,Diversified,1954,6,15,234.44,"$754,411,708,203 ",93.2,77.4,17.9,42.3,83429615
2500,Finance & Investments,67,United States,Finance & Investments,1955,6,10,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1200,Diversified,99,India,Diversified,1923,10,9,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
3500,Healthcare,65,Brazil,Healthcare,1957,11,22,167.4,"$1,839,758,040,766 ",115.4,75.7,14.2,65.1,212559417
3000,Diversified,75,Mexico,Diversified,1947,12,10,141.54,"$1,258,286,717,125 ",105.8,75,13.1,55.1,126014024
2200,Fashion & Retail,84,Switzerland,Fashion & Retail,1939,1,1,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
29700,Manufacturing,87,Germany,Manufacturing,1935,4,20,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
16200,Fashion & Retail,75,Sweden,Fashion & Retail,1947,10,4,110.51,"$530,832,908,738 ",126.6,82.5,27.9,49.1,10285453
5200,Finance & Investments,56,United States,Finance & Investments,1967,2,20,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
8200,Real Estate,41,China,Real Estate,1981,9,27,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
4100,Energy,74,United States,Energy,1948,9,7,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1400,Healthcare,56,United States,Healthcare,1966,12,25,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2700,Food & Beverage,80,Australia,Food & Beverage,1942,7,13,119.8,"$1,392,680,589,329 ",100.3,82.7,23,47.4,25766605
1400,Real Estate,79,India,Real Estate,1943,5,22,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
1300,Food & Beverage,50,Australia,Food & Beverage,1972,5,14,119.8,"$1,392,680,589,329 ",100.3,82.7,23,47.4,25766605
3500,Finance & Investments,76,United States,Finance & Investments,1946,9,14,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1000,Fashion & Retail,69,China,Fashion & Retail,1953,6,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
2200,Automotive,78,Israel,Automotive,1944,11,13,108.15,"$395,098,666,122 ",104.9,82.8,23.1,25.3,9053300
1600,Healthcare,53,China,Healthcare,1969,8,26,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
7500,Finance & Investments,68,United States,Finance & Investments,1954,9,28,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2500,Diversified,56,United Kingdom,Diversified,1967,3,19,119.62,"$2,827,113,184,696 ",101.2,81.3,25.5,30.6,66834405
2800,Fashion & Retail,86,United States,Fashion & Retail,1936,7,22,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2200,Diversified,68,Thailand,Diversified,1955,1,12,113.27,"$543,649,976,166 ",99.8,76.9,14.9,29.5,69625582
2500,Manufacturing,61,India,Manufacturing,1961,5,11,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
1400,Real Estate,68,China,Real Estate,1955,1,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
2400,Energy,77,United States,Energy,1945,9,10,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
9800,Logistics,51,France,Logistics,1971,8,10,110.05,"$2,715,518,274,227 ",102.5,82.5,24.2,60.7,67059887
3800,Construction & Engineering,80,Italy,Construction & Engineering,1943,3,21,110.62,"$2,001,244,392,042 ",101.9,82.9,24.3,59.1,60297396
2100,Manufacturing,49,China,Manufacturing,1974,4,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1500,Manufacturing,50,China,Manufacturing,1972,9,27,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1500,Fashion & Retail,70,Italy,Fashion & Retail,1952,8,16,110.62,"$2,001,244,392,042 ",101.9,82.9,24.3,59.1,60297396
4300,Technology,58,China,Technology,1964,12,5,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3000,Food & Beverage,54,China,Food & Beverage,1969,1,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1300,Manufacturing,50,China,Manufacturing,1972,11,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
4500,Manufacturing,65,China,Manufacturing,1958,1,21,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3600,Real Estate,82,Canada,Real Estate,1941,2,19,116.76,"$1,736,425,629,520 ",100.9,81.9,12.8,24.5,36991981
1400,Energy,71,Russia,Energy,1951,5,28,180.75,"$1,699,876,578,871 ",102.6,72.7,11.4,46.2,144373535
4100,Service,83,United States,Service,1940,1,21,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
9600,Food & Beverage,66,United States,Food & Beverage,1956,12,15,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2000,Healthcare,66,Germany,Healthcare,1956,4,21,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
1300,Healthcare,55,United States,Healthcare,1968,4,3,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2100,Construction & Engineering,54,China,Construction & Engineering,1968,5,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
4500,Technology,76,India,Technology,1946,8,20,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
2000,Telecom,73,United States,Telecom,1949,8,11,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1200,Technology,43,United States,Technology,1980,1,10,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2900,Manufacturing,61,China,Manufacturing,1962,1,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3100,Manufacturing,67,Russia,Manufacturing,1955,8,14,180.75,"$1,699,876,578,871 ",102.6,72.7,11.4,46.2,144373535
1700,Logistics,53,China,Logistics,1969,10,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
5000,Media & Entertainment,78,United States,Media & Entertainment,1944,5,14,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
3200,Logistics,85,Australia,Logistics,1937,4,19,119.8,"$1,392,680,589,329 ",100.3,82.7,23,47.4,25766605
3500,Finance & Investments,62,China,Finance & Investments,1960,10,26,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1300,Finance & Investments,65,United States,Finance & Investments,1957,8,19,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1500,Diversified,62,China,Diversified,1960,6,7,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
5500,Service,73,United States,Service,1949,6,29,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2500,Diversified,69,Philippines,Diversified,1954,1,1,129.61,"$376,795,508,680 ",107.5,71.1,14,43.1,108116615
1700,Manufacturing,59,China,Manufacturing,1964,3,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3700,Finance & Investments,62,United States,Finance & Investments,1961,1,27,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2100,Fashion & Retail,72,Spain,Fashion & Retail,1950,5,20,110.96,"$1,394,116,310,769 ",102.7,83.3,14.2,47,47076781
2600,Service,71,Mexico,Service,1952,2,15,141.54,"$1,258,286,717,125 ",105.8,75,13.1,55.1,126014024
2800,Real Estate,69,Singapore,Real Estate,1953,4,21,114.41,"$372,062,527,489 ",100.6,83.1,13.1,21,5703569
2200,Technology,73,United States,Technology,1949,6,1,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1300,Technology,55,United States,Technology,1967,10,1,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1200,Real Estate,62,Canada,Real Estate,1960,8,4,116.76,"$1,736,425,629,520 ",100.9,81.9,12.8,24.5,36991981
1500,Healthcare,67,India,Healthcare,1955,7,28,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
2000,Manufacturing,73,China,Manufacturing,1949,12,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
2300,Technology,49,China,Technology,1974,2,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3800,Food & Beverage,61,United States,Food & Beverage,1961,12,1,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
5500,Finance & Investments,58,Germany,Finance & Investments,1965,1,1,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
1700,Finance & Investments,68,Switzerland,Finance & Investments,1954,12,15,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
8700,Fashion & Retail,79,Germany,Fashion & Retail,1943,4,12,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
1100,Diversified,58,Switzerland,Diversified,1964,9,28,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
5000,Fashion & Retail,83,France,Fashion & Retail,1939,5,27,110.05,"$2,715,518,274,227 ",102.5,82.5,24.2,60.7,67059887
1800,Fashion & Retail,60,South Korea,Fashion & Retail,1963,1,14,115.16,"$2,029,000,000,000 ",98.1,82.6,15.6,33.2,51709098
1300,Healthcare,70,India,Healthcare,1952,11,9,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
2000,Fashion & Retail,94,United Kingdom,Fashion & Retail,1929,1,27,119.62,"$2,827,113,184,696 ",101.2,81.3,25.5,30.6,66834405
6700,Real Estate,84,United States,Real Estate,1938,12,25,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1300,Automotive,53,United States,Automotive,1969,10,16,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
5500,Automotive,77,Italy,Automotive,1945,5,22,110.62,"$2,001,244,392,042 ",101.9,82.9,24.3,59.1,60297396
1300,Construction & Engineering,60,United Kingdom,Construction & Engineering,1963,3,8,119.62,"$2,827,113,184,696 ",101.2,81.3,25.5,30.6,66834405
1100,Food & Beverage,82,China,Food & Beverage,1940,9,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
2800,Diversified,81,India,Diversified,1942,4,3,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
38900,Food & Beverage,58,Belgium,Food & Beverage,1964,9,21,117.11,"$529,606,710,418 ",103.9,81.6,24,55.4,11484055
1100,Media & Entertainment,51,China,Media & Entertainment,1971,10,7,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1700,Fashion & Retail,53,China,Fashion & Retail,1969,10,2,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
9200,Technology,77,India,Technology,1945,7,24,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
3000,Fashion & Retail,60,United States,Fashion & Retail,1962,10,8,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1300,Technology,71,China,Technology,1952,2,15,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1100,Fashion & Retail,72,Germany,Fashion & Retail,1950,4,25,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
1600,Technology,51,United States,Technology,1972,1,1,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1800,Technology,42,United States,Technology,1980,4,13,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1500,Fashion & Retail,87,Switzerland,Fashion & Retail,1936,1,1,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
4300,Logistics,91,United States,Logistics,1932,1,4,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2200,Finance & Investments,80,United States,Finance & Investments,1942,5,10,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
8800,Technology,71,United States,Technology,1951,6,29,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1400,Real Estate,63,China,Real Estate,1960,1,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1400,Manufacturing,68,China,Manufacturing,1955,2,10,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1500,Fashion & Retail,66,China,Fashion & Retail,1957,3,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
8200,Real Estate,91,India,Real Estate,1931,8,15,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
3200,Automotive,86,United States,Automotive,1937,2,20,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
5600,Gambling & Casinos,51,Israel,Gambling & Casinos,1971,11,1,108.15,"$395,098,666,122 ",104.9,82.8,23.1,25.3,9053300
2700,Metals & Mining,65,Kazakhstan,Metals & Mining,1958,1,1,182.75,"$180,161,741,180 ",104.4,73.2,11.7,28.4,18513930
1100,Healthcare,60,China,Healthcare,1963,1,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
1200,Food & Beverage,67,Israel,Food & Beverage,1956,1,1,108.15,"$395,098,666,122 ",104.9,82.8,23.1,25.3,9053300
2200,Finance & Investments,65,United States,Finance & Investments,1957,5,9,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2000,Manufacturing,52,China,Manufacturing,1970,7,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
5300,Finance & Investments,49,United States,Finance & Investments,1973,9,20,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
21600,Finance & Investments,61,United States,Finance & Investments,1961,12,19,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1100,Fashion & Retail,69,United States,Fashion & Retail,1953,8,1,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1900,Diversified,39,Switzerland,Diversified,1984,1,1,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
2700,Diversified,79,India,Diversified,1944,1,7,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
6600,Finance & Investments,47,Germany,Finance & Investments,1976,1,7,112.85,"$3,845,630,030,824 ",104,80.9,11.5,48.8,83132799
1000,Manufacturing,66,China,Manufacturing,1957,2,23,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
8000,Fashion & Retail,93,United States,Fashion & Retail,1929,5,12,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
16700,Finance & Investments,70,Switzerland,Finance & Investments,1953,1,1,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
7500,Sports,80,United States,Sports,1942,9,27,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1900,Real Estate,56,China,Real Estate,1966,10,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
3400,Finance & Investments,81,United States,Finance & Investments,1941,7,16,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1600,Technology,51,India,Technology,1972,1,1,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
8800,Fashion & Retail,47,Russia,Fashion & Retail,1975,10,16,180.75,"$1,699,876,578,871 ",102.6,72.7,11.4,46.2,144373535
